FileName,SOC,SiO,D,A,Q_Leak_Rel,Q_Leak_abs,Q_Leakage,Q_irr_abs,Q_irr_Rel,Q_irr,Ratio,Q_tot
0% Si-SOC 10%-D1,10,0,1,0,0,0,0.052,0,0,0,0,209.4
0% Si-SOC 10%-D2,10,0,2,1,59.57,-0.031,0.021,0.9,67.7778,0.9,42.8,210.3
0% Si-SOC 10%-D3,10,0,3,2,-250.538,0.0527,0.0737,-0.61,72.4138,0.29,3.93,210.59
0% Si-SOC 10%-D4,10,0,4,3,-46.6197,0.0344,0.1081,-0.21,262.5,0.08,0.74,210.67
0% Si-SOC 10%-D5,10,0,5,4,128.9409,-0.1393,-0.0313,-0.21,-30.7692,-0.13,4.16,210.54
0% Si-SOC 10%-D6,10,0,6,5,0,0,0,-0.04,0,-0.17,0,210.37
0% Si-SOC 30%-D1,30,0,1,0,0,0,0.3652,0,0,0,0,211.02
0% Si-SOC 30%-D2,30,0,2,1,10.8848,-0.0398,0.3255,0.94,101.0638,0.94,2.89,211.96
0% Si-SOC 30%-D3,30,0,3,2,32.3669,-0.1053,0.2201,-0.95,-1800,-0.01,-0.05,211.95
0% Si-SOC 30%-D4,30,0,4,3,-9.2845,0.0204,0.2405,-0.18,-42.1053,-0.19,-0.79,211.76
0% Si-SOC 30%-D5,30,0,5,4,-50.7952,0.1222,0.3627,-0.08,-51.8519,-0.27,-0.74,211.49
0% Si-SOC 30%-D6,30,0,6,5,0,0,0,-0.14,0,-0.41,0,211.08
0% Si-SOC 50%-D1,50,0,1,0,0,0,1.2648,0,0,0,0,211.18
0% Si-SOC 50%-D2,50,0,2,1,66.7283,-0.844,0.4208,-2.19,188.5845,-2.19,-5.2,208.99
0% Si-SOC 50%-D3,50,0,3,2,19.9785,-0.0841,0.3367,4.13,130.4124,1.94,5.76,210.93
0% Si-SOC 50%-D4,50,0,4,3,-1.7278,0.0058,0.3426,-2.53,64.4068,-0.59,-1.72,210.34
0% Si-SOC 50%-D5,50,0,5,4,-18.4201,0.0631,0.4057,0.38,-128.5714,-0.21,-0.52,210.13
0% Si-SOC 50%-D6,50,0,6,5,0,0,0,-0.27,0,-0.48,0,209.65
0% Si-SOC 70%-D1,70,0,1,0,0,0,2.1466,0,0,0,0,212.36
0% Si-SOC 70%-D2,70,0,2,1,52.9484,-1.1366,1.01,-1.67,76.6467,-1.67,-1.65,210.69
0% Si-SOC 70%-D3,70,0,3,2,26.5709,-0.2684,0.7416,1.28,-38.4615,-0.39,-0.53,210.3
0% Si-SOC 70%-D4,70,0,4,3,35.7923,-0.2654,0.4762,-0.15,-531.4815,-0.54,-1.13,209.76
0% Si-SOC 70%-D5,70,0,5,4,-32.7994,0.1562,0.6324,-2.87,163.9296,-3.41,-5.39,206.35
0% Si-SOC 70%-D6,70,0,6,5,0,0,0,5.59,0,2.18,0,208.53
0% Si-SOC 90%-D1,90,0,1,0,0,0,3.6932,0,0,0,0,214.93
0% Si-SOC 90%-D2,90,0,2,1,41.2096,-1.522,2.1713,-3.16,98.4177,-3.16,-1.46,211.77
0% Si-SOC 90%-D3,90,0,3,2,13.4062,-0.2911,1.8802,3.11,-460,-0.05,-0.03,211.72
0% Si-SOC 90%-D4,90,0,4,3,22.7197,-0.4272,1.453,-0.23,-39.2857,-0.28,-0.19,211.44
0% Si-SOC 90%-D5,90,0,5,4,-13.5839,0.1974,1.6504,-0.11,-12.8205,-0.39,-0.24,211.05
