Q_Leakage,Q_Leak_abs,Q_Leak_Rel,Q_irr,Q_irr_abs,Q_irr_Rel,Ratio,SOC,SiO,D,A
0.052,0,0,-0.9,0,0,-17.31,10,0,1,0
0.021,-0.031,-59.57,-0.29,0.61,-67.78,-13.79,10,0,2,1
0.0737,0.0527,250.54,-0.08,0.21,-72.41,-1.09,10,0,3,2
0.1081,0.0344,46.62,0.13,0.21,-262.5,1.2,10,0,4,3
-0.0313,-0.1393,-128.94,0.17,0.04,30.77,-5.44,10,0,5,4
0,0,0,0,-0.17,-100,0,10,0,6,5
0.3652,0,0,-0.94,0,0,-2.57,30,0,1,0
0.3255,-0.0398,-10.88,0.01,0.95,-101.06,0.03,30,0,2,1
0.2201,-0.1053,-32.37,0.19,0.18,1800,0.86,30,0,3,2
0.2405,0.0204,9.28,0.27,0.08,42.11,1.12,30,0,4,3
0.3627,0.1222,50.8,0.41,0.14,51.85,1.13,30,0,5,4
0,0,0,0,-0.41,-100,0,30,0,6,5
1.2648,0,0,2.19,0,0,1.73,50,0,1,0
0.4208,-0.844,-66.73,-1.94,-4.13,-188.58,-4.61,50,0,2,1
0.3367,-0.0841,-19.98,0.59,2.53,-130.41,1.75,50,0,3,2
0.3426,0.0058,1.73,0.21,-0.38,-64.41,0.61,50,0,4,3
0.4057,0.0631,18.42,0.48,0.27,128.57,1.18,50,0,5,4
0,0,0,0,-0.48,-100,0,50,0,6,5
2.1466,0,0,1.67,0,0,0.78,70,0,1,0
1.01,-1.1366,-52.95,0.39,-1.28,-76.65,0.39,70,0,2,1
0.7416,-0.2684,-26.57,0.54,0.15,38.46,0.73,70,0,3,2
0.4762,-0.2654,-35.79,3.41,2.87,531.48,7.16,70,0,4,3
0.6324,0.1562,32.8,-2.18,-5.59,-163.93,-3.45,70,0,5,4
0,0,0,0,2.18,-100,0,70,0,6,5
3.6932,0,0,3.16,0,0,0.86,90,0,1,0
2.1713,-1.522,-41.21,0.05,-3.11,-98.42,0.02,90,0,2,1
1.8802,-0.2911,-13.41,0.28,0.23,460,0.15,90,0,3,2
1.453,-0.4272,-22.72,0.39,0.11,39.29,0.27,90,0,4,3
1.6504,0.1974,13.58,0.44,0.05,12.82,0.27,90,0,5,4
0,0,0,0,-0.44,-100,0,90,0,6,5
-0.077,0,0,19.43,0,0,-252.22,10,10,1,0
-0.016,0.061,-79.24,-17.57,-37,-190.43,1098.79,10,10,2,1
-0.0339,-0.0179,111.71,0.54,18.11,-103.07,-15.95,10,10,3,2
-0.0049,0.029,-85.6,0.46,-0.08,-14.81,-94.39,10,10,4,3
-0.0563,-0.0515,1055.84,0.72,0.26,56.52,-12.78,10,10,5,4
0,0,0,0,-0.72,-100,0,10,10,6,5
-0.083,0,0,3.36,0,0,-40.51,30,10,1,0
-0.1647,-0.0818,98.57,0.93,-2.43,-72.32,-5.65,30,10,2,1
-0.1784,-0.0137,8.3,11.14,10.21,1097.85,-62.45,30,10,3,2
0.076,0.2544,-142.6,-8.7,-19.84,-178.1,-114.48,30,10,4,3
-0.1869,-0.2629,-345.9,1.26,9.96,-114.48,-6.74,30,10,5,4
0,0,0,0,-1.26,-100,0,30,10,6,5
2.1458,0,0,5.6,0,0,2.61,50,10,1,0
0.6482,-1.4977,-69.79,0.15,-5.45,-97.32,0.23,50,10,2,1
0.3815,-0.2667,-41.14,0.81,0.66,440,2.12,50,10,3,2
0.0765,-0.305,-79.94,0.65,-0.16,-19.75,8.49,50,10,4,3
0.2081,0.1316,171.86,0.75,0.1,15.38,3.6,50,10,5,4
0,0,0,0,-0.75,-100,0,50,10,6,5
2.2122,0,0,6.79,0,0,3.07,70,10,1,0
0.6294,-1.5828,-71.55,19.02,12.23,180.12,30.22,70,10,2,1
0.4693,-0.1601,-25.43,-16.42,-35.44,-186.33,-34.99,70,10,3,2
0.5611,0.0918,19.56,0.53,16.95,-103.23,0.94,70,10,4,3
0.2374,-0.3237,-57.69,0.62,0.09,16.98,2.61,70,10,5,4
0,0,0,0,-0.62,-100,0,70,10,6,5
7.8646,0,0,13.89,0,0,1.77,90,10,1,0
4.9282,-2.9364,-37.34,50.48,36.59,263.43,10.24,90,10,2,1
0.1428,-4.7853,-97.1,-51.3,-101.78,-201.62,-359.18,90,10,3,2
4.4114,4.2686,2988.67,2.03,53.33,-103.96,0.46,90,10,4,3
3.6889,-0.7226,-16.38,0.31,-1.72,-84.73,0.08,90,10,5,4
0,0,0,0,-0.31,-100,0,90,10,6,5
0.1679,0,0,9.71,0,0,57.82,10,15,1,0
0.2053,0.0374,22.27,3.46,-6.25,-64.37,16.85,10,15,2,1
0.1696,-0.0357,-17.39,2.3,-1.16,-33.53,13.56,10,15,3,2
0.0209,-0.1487,-87.65,2.25,-0.05,-2.17,107.4,10,15,4,3
0.0506,0.0296,141.36,2.32,0.07,3.11,45.88,10,15,5,4
0,0,0,0,-2.32,-100,0,10,15,6,5
0.3077,0,0,9.99,0,0,32.46,30,15,1,0
0.2284,-0.0794,-25.79,3.52,-6.47,-64.76,15.41,30,15,2,1
0.1684,-0.06,-26.26,2.32,-1.2,-34.09,13.78,30,15,3,2
-0.0019,-0.1703,-101.15,2.09,-0.23,-9.91,-1082.23,30,15,4,3
0.0555,0.0575,-2975.44,1.76,-0.33,-15.79,31.69,30,15,5,4
0,0,0,0,-1.76,-100,0,30,15,6,5
2.3948,0,0,9.4,0,0,3.93,50,15,1,0
0.4282,-1.9666,-82.12,4.5,-4.9,-52.13,10.51,50,15,2,1
